serial_no,race,education,income,gender,age,relationship
0003710,47,09,060000,2,48,02
0003776,47,11,000000,1,65,01
0003776,47,14,000000,2,64,02
0003776,47,11,000000,2,33,03
0003835,47,09,002000,2,19,23
0003847,47,14,063000,1,44,01
0003849,47,13,000000,1,85,01
0003849,47,11,000000,2,75,02
0003929,47,09,005500,1,54,01
0003929,47,10,062000,2,50,02
0003970,47,10,031200,1,51,01
0003970,47,10,000000,2,36,19
0003970,47,04,,1,14,21
0003970,47,03,,1,12,21
0003970,47,02,,1,08,21
0004007,47,13,001500,1,39,01
0004007,47,13,056000,2,41,02
0004041,47,11,018000,1,30,01
0004041,47,12,036000,2,31,02
0004041,47,00,,1,01,03
0004089,47,13,100000,1,44,01
0004089,47,13,026000,2,42,02
0004089,47,07,000000,1,17,03
0004089,47,04,,1,14,03
0004089,47,02,,1,08,03
0004122,37,01,000000,1,50,01
0004145,01,13,053000,2,55,01
0004145,01,11,005900,2,22,03
0004145,20,05,000000,2,15,03
0004145,20,04,,1,13,03
0004145,01,01,,1,03,08
0004163,47,14,068000,1,58,01
0004163,47,13,015400,2,57,02
0004168,47,16,000000,1,79,01
0004198,47,10,012000,2,71,01
0004238,47,01,000000,1,24,22
0004248,47,11,020500,1,26,01
0004248,01,09,009100,2,27,02
0004248,01,02,,1,08,03
0004248,01,02,,2,06,03
0004248,01,01,,1,05,03
0004283,47,11,000000,2,41,01
0004283,47,09,049400,1,39,02
0004283,47,06,009000,1,19,03
0004283,47,04,,2,13,03
0004283,47,03,,1,11,03
0004333,37,10,014000,1,36,22
0004347,37,06,000000,2,77,01
0004370,47,07,000000,1,45,01
0004370,47,08,000000,2,38,02
0004370,47,09,000000,2,18,03
0004370,47,04,,2,13,03
0004370,66,02,,2,06,03
0004370,47,03,000000,2,78,07
0004376,47,12,042500,1,36,01
0004399,47,13,002100,2,34,01
0004399,47,10,028600,1,38,02
0004436,47,09,020000,1,43,01
0004436,47,09,000000,2,38,02
0004674,37,11,011000,2,22,23
0004734,47,10,018400,2,29,01
0004734,47,09,073000,1,35,02
0004807,37,09,008700,2,44,01
0004807,37,08,000000,1,24,03
0004807,37,06,000000,1,22,03
